CourseID,CourseImage,CourseName,ShortDes,StudentCount,Price,SalePrice,UpdatedAt,SubCategoryID,View
1,images/courses/1/main.jpg,Flutter & Dart - The Complete Guide [2020 Edition],A Complete Guide to the Flutter SDK & Flutter Framework for building native iOS and Android apps,111900,3000000,300000,Nov-20,1,1000
2,images/courses/2/main.jpg,The Complete 2020 Flutter Development Bootcamp with Dart,Officially created in collaboration with the Google Flutter team.,84899,3000000,300000,Dec-20,1,2000
3,images/courses/3/main.jpg,Dart and Flutter: The Complete Developer's Guide,"Everything you need to know for building mobile apps with Flutter and Dart, including RxDart and Animations!",20074,3000000,300000,Dec-20,1,2000
4,images/courses/4/main.jpg,Flutter & Dart - The Complete Flutter App Development Course,Build Flutter iOS and Android Apps with a Single Codebase: Learn Google's Flutter Mobile Development Framework & Dart,17851,3000000,300000,Jun-20,1,2500
5,images/courses/5/main.png,Flutter & Firebase: Build a Complete App for iOS & Android,"Learn Dart, Flutter & Firebase by Google, and build a real-world, production ready app",7642,3000000,300000,Dec-20,1,2500
6,images/courses/6/main.jpg,"The Complete Flutter UI Masterclass | iOS, Android, & Web","Learn how to build beautiful and responsive iOS, Android, and Web user interfaces using Flutter and Dart!",2023,1200000,-1,Nov-20,1,3000
7,images/courses/7/main.jpg,Master Flutter - Learn Dart & Flutter by Developing 5 Apps,"Learn Google Flutter & Dart by Developing 5 Real Life & Enterprise Apps including UI, App Dashboard and API",1373,3000000,300000,Oct-20,1,3000
8,images/courses/8/main.jpg,The Complete Android N Developer Course,"Learn Android App Development with Android 7 Nougat by building real apps including Uber, Whatsapp and Instagram!",147909,3000000,300000,Feb-19,2,1800
9,images/courses/9/main.jpg,The Complete Android Oreo Developer Course - Build 23 Apps!,"Learn Android O App Development using Java & Kotlin - build real apps including Super Mario Run, Whatsapp and Instagram!",68517,3000000,300000,Oct-20,2,1800
10,images/courses/10/main.jpg,Android Java Masterclass - Become an App Developer,Improve your career options by learning Android app Development. Master Android Studio and build your first app today,56288,2300000,230000,Dec-20,2,2300
11,images/courses/11/main.jpg,The Comprehensive Android Development Masterclass,"Master New Android API's like ROOM Database, ML Kit Face Recognition, Firestore, Firebase, Maps and Android Studio IDE",11872,3000000,300000,Dec-20,2,2300
