LectureID,LectureName,Preview,VideoLink,ContentID
1,What is Flutter ?,1,https://www.udemy.com/tutorial/learn-flutter-dart-to-build-ios-android-apps/what-is-flutter/,1
2,Flutter MacOS Setup,1,https://www.udemy.com/tutorial/learn-flutter-dart-to-build-ios-android-apps/flutter-macos-setup/,1
3,Flutter Windows Setup,1,https://www.udemy.com/tutorial/learn-flutter-dart-to-build-ios-android-apps/flutter-windows-setup/,1
4,Module Introduction,0,,2
5,Creating a new project,0,,2
6,An Overview of the Generated Files & Folders,0,,2
7,Module Introduction,0,,3
8,Running the App on a Real Android Device,0,,3
9,Running the App on an iOS Emulator,0,,3
10,What is Flutter ?,1,https://www.udemy.com/tutorial/flutter-bootcamp-with-dart/what-is-flutter/,4
11,Why is Flutter ?,1,https://www.udemy.com/tutorial/flutter-bootcamp-with-dart/why-flutter/,4
12,Overview of the Process,0,,5
13,Windows Setup Step 1 - Install the Flutter SDK,0,,5
14,Windows Setup Step 2 - Install Android Studio,0,,5
15,Windows Setup Step 3 - Install the Android Emulator,0,,5
16,Windows Installation Troubleshooting,0,,5
17,A Quick Note About macOS Catalina,0,,5
18,Mac Setup Step 1 - Install the Flutter SDK,0,,5
19,Mac Setup Step 2 - Install Android Studio,0,,5
20,Mac Setup Step 3 - Install the Android Emulator,0,,5
21,Mac Setup Step 4 - Install Xcode and Command Line Tools,0,,5
22,Mac Setup Step 5 - Test the iOS Simulator,0,,5
23,Mac Installation Troubleshooting,0,,5
24,[Optional] Configure Android Studio for Flutter Development,0,,5
25,[Optional] Guided Tour of Android Studio for Flutter Development,0,,5
26,Creating a New Flutter Project from Scratch,0,,6
27,A quick note about Hot Reload,0,,6
28,Scaffolding a Flutter App,0,,6
29,Working with Assets in Flutter & the Pubspec file,0,,6
30,How to Add App Icons to the iOS and Android Apps,0,,6
31,How to Ace this Course,0,,6
32,How to Get Help,0,,7
33,Course Organization,0,,7
34,Dart Overview,0,,8
35,The Dartpad Editor,0,,8
36,Our First program,0,,8
37,For Loops,0,,9
38,Adding Elements to Lists,1,https://www.udemy.com/tutorial/dart-and-flutter-the-complete-developers-guide/adding-elements-to-lists/,9
39,More on Variable Initialization,0,,9
40,The Learning Path of This Course,0,,10
41,Why Flutter Development ?,1,https://www.udemy.com/tutorial/flutter-dart-the-complete-flutter-app-development-course/why-flutter-development/,11
42,Important Message,0,,11
43,Introduction to Classes and Objects,1,https://www.udemy.com/tutorial/flutter-dart-the-complete-flutter-app-development-course/introduction-to-classes-and-objects/,12
44,Introduction to Class Creation and Instance Variables,0,,12
45,Adding Methods to Classes,0,,12
46,Course Introduction,0,,13
47,Course Content,0,,13
48,App Overview,0,,13
49,The Dart Language,0,,14
50,Introduction to Dartpad,0,,14
51,String interpolation,0,,14
52,Flutter setup on macOS,0,,15
53,Setting the PATH variable,0,,15
54,Flutter doctor,0,,15
55,Introduction,0,,16
56,Search Bar,0,,17
57,Recent Orders,0,,17
58,Nearby Restaurant,0,,17
59,Home Screen,0,,18
60,Sliver App Bar and Sliver List,0,,18
61,Bar Chart,0,,18
62,Before you take this course,0,,19
63,What is flutter for,0,,19
64,Installing the flutter sdk,0,,20
65,Installing android studio,0,,20
