CourseID,TotalRates,TotalVotes
1,138667,30145
2,121270,25802
3,17484,3720
4,17685,3930
5,8818,1917
6,1537,327
7,1080,257
8,119790,27225
9,63092,14339
10,39735,8830
11,9016,2049
12,32325,7027
13,16869,3923
14,16871,3749
15,430116,91514
16,187587,39912
17,107757,22927
18,54979,11952
19,48433,10305
20,32815,6982
21,27880,5932
22,455547,99032
23,301134,64071
24,44003,9566
25,58957,12544
26,299055,65012
27,33819,7352
28,21348,4542
29,220105,47849
30,129922,27067
31,65067,14145
32,44340,9434
33,71938,15306
34,29035,6312
35,5530,1152
